from,to ,weight,ranking,country,year,type,oscar,globe
moon,bjd,19,2,US,1979,d,1,
moon,arp,19,2,US,1982,p,1,
moon,bjs,19,2,US,1979,s,1,
moon,aha,19,2,US,2004,a,,
moon,asa,19,2,US,1995,a,,
moon,tra,19,2,US,1990,a,,
moon,nbc,19,2,US,1980,c,,
moon,a2pc,19,2,US,2012,pc,,
moon,dmpc,19,2,EU,1996,pc,,
verbl,a2dc,19,2,US,2012,dc,,
verbl,nad,18,2,EU,1961,d,,
verbl,ssp,18,2,EU,1952,p,,
verbl,sls,18,2,EU,1954,s,,
verbl,mna,18,2,EU,1960,a,,
verbl,npa,18,2,EU,1979,a,,
verbl,lea,18,2,EU,1955,a,,
verbl,jgc,18,2,EU,1951,c,,
verbl,nfpc,18,2,EU,1906,pc,,
verbl,wbpc,18,2,US,1923,pc,,
traffic,wbdc,18,2,US,1923,dc,,
traffic,ssd,17,2,US,1963,d,,
traffic,lbp,17,2,US,1968,p,,
traffic,sms,17,2,US,1958,s,,
traffic,mda,17,2,US,1944,a,2,5
traffic,dca,17,2,US,1964,a,,2
traffic,bta,17,2,US,1967,a,1,1
traffic,cmc,17,2,US,1954,c,,
traffic,iepc,17,2,US,1990,pc,,
traffic,lbpc,17,2,US,,pc,,
traffic,bfpc,17,2,US,1985,pc,,
kommando,ufdc,17,2,US,,dc,,
kommando,kbd,16,2,US,1951,d,2,
kommando,kbp,16,2,US,1951,p,2,
kommando,mbs,16,2,US,1973,s,2,
kommando,jra,16,2,US,1971,a,,
kommando,ama,16,2,US,1978,a,,
kommando,ela,16,2,CA,1979,a,,
kommando,mbc,16,2,US,1966,c,,
kommando,kfpc,16,2,US,1974,pc,,
kommando,flpc,16,2,US,2001,pc,,
kommando,vppc,16,2,US,2005,pc,,
kommando,gppc,16,2,US,1999,pc,,
man,sedc,16,2,US,1991,dc,,
man,jcd1,15,2,US,1954,d,4,1
man,ecp,15,2,US,1957,p,4,1
man,jcs1,15,2,US,1954,s,4,1
man,msa,15,2,US,1968,a,,
man,rka,15,2,US,1956,a,,
man,fma,15,2,US,1956,a,,
man,cbc1,15,2,US,1954,c,2,
man,scpc,15,2,US,1988,pc,,
man,rmpc,15,2,US,2004,pc,,
man,wtpc,15,2,US,1984,pc,,
man,mzpc,15,2,US,1985,pc,,
leben,ffdc,15,2,US,2002,dc,,
leben,fhd,14,2,EU,1973,d,1,1
leben,mwp,14,2,EU,1977,p,1,1
leben,fhs,14,2,EU,1973,s,1,1
leben,uma,14,2,EU,1953,a,,
leben,ska,14,2,EU,1962,a,,
leben,mga,14,2,EU,1961,a,,
leben,gyc,14,2,EU,1949,c,1,1
leben,wbpc2,14,2,EU,2003,pc,,
leben,brpc,14,2,US,1999,pc,,
leben,arpc,14,2,EU,1991,pc,,
leben,cfpc,14,2,EU,,pc,,
name,wddc,14,2,US,1953,dc,,
name,lgd,13,2,EU,1971,d,,
name,psp,13,2,US,1965,p,1,
name,jis,13,2,US,1928,s,1,
name,aha2,13,2,US,1986,a,,
name,tca,13,2,US,1995,a,,
name,msa,13,2,US,1968,a,,
name,ssc,13,2,US,1975,c,,
name,ffpc,13,2,EU,2012,pc,,
name,lcpc,13,2,EU,,pc,,
name,rtpc,13,2,SA,2005,pc,,
name,mypc,13,2,US,2007,pc,,
