id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
jbd,J. A. Bayona,d,m,,,,1975,,,,,,,,,,,,,,,,,EU
jbp,Jerry Bruckheimer,p,m,,,,1943,,,,,,,,,,,,,,0,2,,US
jbp1,Jim Burke,p,m,,,,1957,,,,,,,,,,,,,,1,,,US
jbpc,Jerry Bruckheimer Films,pc,d,,,,1995,,,,,,,,,,,,,,,,,US
jca,Jessica Chastain,a,f,,,,1977,,,,,,,,,,,,,,1,1,,US
jca2,Jennifer Connelly,a,f,,,,1970,,,,,,,,,,,,,,1,1,,US
jcd,James Cameron,d,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcd1,Joel Coen,d,f,,,,1954,,,,,,,,,,,,,,4,1,,US
jcp,James Cameron,p,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcs,James Cameron,s,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcs1,Joel Coen,s,m,,,,1954,,,,,,,,,,,,,,4,1,,US
jcs2,Jim Cash,s,m,,,,1947,,,,,,,,,,,,,,0,0,,US
jea,Jesse Eisenberg,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
jedi,Star Wars: The Last Jedi,m,d,1,14,,2017,rjd,kkp,rjs,mha,cfa,ada,jwc,lfpc,,,,wddc,"1,333",,,action,US
jfd,Jon Favreau,d,m,,,,1966,,,,,,,,,,,,,,0,0,,US
jfp,Jon Favreau,p,m,,,,1966,,,,,,,,,,,,,,0,0,,US
jga,Jake Gyllenhaal,a,m,,,,1980,,,,,,,,,,,,,,,,,US
jga1,Jonathan Groff,a,m,,,,1985,,,,,,,,,,,,,,0,0,,US
jga2,Josh Gad,a,m,,,,1981,,,,,,,,,,,,,,0,0,,US
jgc,Jacob Groth,c,m,,,,1951,,,,,,,,,,,,,,0,0,,EU
jhc,James Horner,c,m,,,,1953,,,,,,,,,,,,,,2,2,,US
jis,James Ivory,s,m,,,,1928,,,,,,,,,,,,,,1,0,,US
jkd,Joseph Kosinski,d,m,,,,1974,,,,,,,,,,,,,,0,0,,US
jks,Jack Kirby,s,m,,,,1917,,,,,,,,,,,,,,,,,US
jls,Jennifer Lee,s,f,,,,1971,,,,,,,,,,,,,,0,0,,US
jls1,John Logan,s,m,,,,1961,,,,,,,,,,,,,,,,,US
jnc,James Newton Howard,c,m,,,,1951,,,,,,,,,,,,,,0,0,,US
jns,Jeff Nathanson,s,m,,,,1965,,,,,,,,,,,,,,0,0,,US
jns1,Jonathan Nolan,s,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
jra,Jeremy Renner,a,m,,,,1971,,,,,,,,,,,,,,0,0,,US
jrd,Joe Russo,d,m,,,,1971,,,,,,,,,,,,,,0,0,,US
jrp,Jonas Rivera,p,m,,,,1971,,,,,,,,,,,,,,2,0,,US
jsa,Jason Statham,a,m,,,,1967,,,,,,,,,,,,,,0,0,,EU
jta,Justin Timberlake,a,m,,,,1981,,,,,,,,,,,,,,0,0,,US
jurassic,Jurassic World,m,d,1,5,,2015,ctd,fmp,cts,cpa,bha,voa,mgc,aepc,lppc,kmpc,,updc,"1,672",0,0,action,US
jwc,John Williams,c,m,,,,1932,,,,,,,,,,,,,,5,4,,US
jwd,Joss Whedon,d,m,,,,1964,,,,,,,,,,,,,,0,0,,US
jwd2,James Wan,d,m,,,,1977,,,,,,,,,,,,,,0,0,,A
jwp,Joss Whedon,p,m,,,,1964,,,,,,,,,,,,,,0,0,,US
jws,Joss Whedon,s,m,,,,1964,,,,,,,,,,,,,,0,0,,US
kba,Kristen Bell,a,f,,,,1980,,,,,,,,,,,,,,0,0,,US
kbd,Kathryn Bigelow,d,f,,,,1951,,,,,,,,,,,,,,2,0,,US
kbp,Kathryn Bigelow,p,f,,,,1951,,,,,,,,,,,,,,2,0,,US
kfp,Kevin Feige,p,m,,,,1973,,,,,,,,,,,,,,,,,US
kfpc,Kingsgate Films,pc,d,,,,1974,,,,,,,,,,,,,,,,,US
kfpc1,Komplizen Film,pc,d,,,,1999,,,,,,,,,,,,,,,,,EU
khpc,KNM Home Entertainment,pc,d,,,,2007,,,,,,,,,,,,,,,,,EU
kingdom,Jurassic World: Fallen Kingdom,m,d,1,15,,2018,jbd,fmp,dcs,cpa,bha,rsa,mgc,aepc,lepc1,pwpc,tmpc,updc,"1,31",,,action,US
kkp,Kathleen Kennedy,p,f,,,,1953,,,,,,,,,,,,,,,,,US
kmpc,The Kennedy/Marshall Company,pc,d,,,,1991,,,,,,,,,,,,,,,,,US
kommando,Tödliches Kommando: The Hurt Locker,m,d,2,,5,2008,kbd,kbp,mbs,jra,ama,ela,mbc,kfpc,flpc,vppc,gppc,sedc,"0,492",6,0,thriller,US
