id,name,type,sex,ranking,ranking_money,ranking_critics,director
lea1,Luke Evans,a,m,,,,
leben,Das Leben der Anderen,m,d,2,,7,fhd
lepc,Lightstorm Entertainment,pc,d,,,,
lepc1,Legendary Entertainment,pc,d,,,,
lfpc,Lucasfilm Ltd.,pc,d,,,,
lgc,Ludwig Göransson,c,m,,,,
lgd,Luca Guadagnino,d,m,,,,
lion,The Lion King,m,d,1,6,,jfd
lms,Larry McMurtry,s,m,,,,
lna,Lupita Nyong'o,a,f,,,,
lppc,Legendary Pictures,pc,d,,,,
lra,Lou Romano,a,m,,,,
mad,Maren Ade,d,f,,,,
man,A serious man,m,d,,,6,jcd1
map,Maren Ade,p,f,,,,
mas,Maren Ade,s,f,,,,
mbc,Marco Beltrami,c,m,,,,
mbs,Mark Boal,s,m,,,,
mda,Michael Douglas,a,m,,,,
mfpc,Missing Link Films,pc,d,,,,
mfpc1,Miramax Films,pc,d,,,,
mga,Martina Gedeck,a,f,,,,
mgc,Michael Giacchino,c,m,,,,
mha,Mark Hamill,a,m,,,,
mja,Michael B. Jordan,a,m,,,,
mna,Michael Nyqvist,a,m,,,,
moon,moonlight,m,d,2,,2,bjd
mra,Mickey Rourke,a,m,,,,
mra2,Mark Ruffalo,a,m,,,,
mrpc,MRC,pc,d,,,,
msa,Michael Stuhlbarg,a,m,,,,
msd,Martin Scorsese,d,m,,,,
mspc,Marvel Studios,pc,d,,,,
mta,Miles Teller,a,m,,,,
mta1,Marisa Tomei,a,f,,,,
muenchen,Muenchen,m,d,2,,17,ssd1
mwa,Michael Wittenborn,a,m,,,,
mwp,Max Wiedemann,p,m,,,,
mypc,M.Y.R.A. Entertainment,pc,d,,,,
mzpc,Mike Zoss Productions,pc,d,,,,
nad,Niels Arden Oplev,d,m,,,,
name,Call me by your name,m,d,2,,8,lgd
nbc,Nicholas Britell,c,m,,,,
nfdc,NFP,dc,d,,,,
nfpc,Nordisk Film,pc,d,,,,
ngp,Nicole Paradis Grindle,p,f,,,,
npa,Noomi Rapace,a,m,,,,
ofpc,Original Film,pc,d,,,,
orpc,OneRace Films,pc,d,,,,
panther,Black Panther,m,d,1,12,,rcd
pbpc,Plan B,pc,d,,,,
pcpc,Paramount Classics,pc,d,,,,
pdd,Pete Docter,d,m,,,,
pdp,Peter Del Vecho,p,m,,,,
pds,Pete Docter,s,m,,,,
poa,Patton Oswalt,a,m,,,,
potter,Harry Potter and the Deathly Hallows – Part 2,m,d,1,13,,dyd
ppc,Pixar animation studios,pc,d,,,,
ppdc,Paramount Pictures,dc,d,,,,
pppc,Paramount Pictures,pc,d,,,,
pppc1,Protozoa Pictures,pc,d,,,,
psa,Peter Simonischeck,a,m,,,,
psp,Peter Spears,p,m,,,,
pvc,Patrick Veigel,c,m,,,,
pwa,Paul Walker,a,m,,,,
pwpc,Perfect World Pictures,pc,d,,,,
ratatouille,Ratatouille,m,d,2,,9,bbd
rcd,Ryan Coogler,d,m,,,,
rcs,Ryan Coogler,s,m,,,,
rda,Robert Downey Jr.,a,m,,,,
rga,Rupert Grint,a,m,,,,
rjd,Rian Johnson,d,m,,,,
rjs,Rian Johnson,s,m,,,,
rka,Richard Kind,a,f,,,,
rmpc,Relativity Media,pc,d,,,,
rrpc,River Road Entertainment,pc,d,,,,
rsa,Rafe Spall,a,m,,,,
rss,Robert Siegel,s,m,,,,
rtpc,RT Features,pc,d,,,,
sba,Sandra Bullock,a,f,,,,
sbd,Shane Black,d,m,,,,
sca1,Sacha Baron Cohen,a,m,,,,
scpc,StudioCanal,pc,d,,,,
scs,Stephen Chbosky,s,m,,,,
sedc,Summit Entertainment,dc,d,,,,
sha,Sandra Hüller,a,f,,,,
sja,Scarlett Johansson,a,f,,,,
ska,Sebastian Koch,a,m,,,,
skp,Susan Kirr,p,f,,,,
sks,Steve Kloves,s,m,,,,
slp,Stan Lee,p,m,,,,
sls,Stieg Larsson,s,m,,,,
smpc,Skydance Media,pc,d,,,,
sms,Simon Moore,s,m,,,,
social,The Social Network,m,d,2,,18,dfd
spa,Sean Penn,a,m,,,,
spc,Steven Price,c,m,,,,
spdc,Sony Pictures,dc,d,,,,
sra,Seth Rogen,a,m,,,,
srp,Scott Rudin,p,m,,,,
srpc,Scott Rudin Production,pc,d,,,,
ssc,Sufjan Stevens,c,m,,,,
ssd,Steven Soderbergh,d,m,,,,
ssd1,Steven Spielberg,d,m,,,,
ssp,Soren Staermose,p,m,,,,
ssp1,Steven Spielberg,p,m,,,,
starwars,Star Wars: Das Erwachen der Macht,m,d,1,3,,jad
sva,Sarah Vowell,a,f,,,,
swa,Sam Worthington,a,m,,,,
swa1,Sigourney Weaver,a,f,,,,
swa2,Shailene Woodley,a,f,,,,
tca,Timothée Chalamet,a,m,,,,
tca2,Tom Cruise,a,m,,,,
tja,Tommy Lee Jones,a,m,,,,
tmd,Terrence Malick,d,m,,,,
tmpc,The Kennedy/Marshall Company,pc,d,,,,
tms,Terrence Malick,s,m,,,,
erdmann,Toni Erdmann,m,d,2,,1,mad
tppc,Tencent Pictures,pc,d,,,,
tra,Trevante Rhodes,a,m,,,,
traffic,Traffic: Die Macht des Kartells,m,d,2,,4,ssd
trc,Trent Reznor,c,m,,,,
tree,The Tree of Life,m,d,2,,19,tmd
