id,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
gpa,a,f,,,,1972,,,,,,,,,,,,,,1,1,,US
gppc,pc,d,,,,1999,,,,,,,,,,,,,,,,,US
gravity,m,d,2,,12,2013,acd,acp,acs,sba,gca,eha,spc,wbpc,efpc,hfpc,,wbdc,"0,723",7,4,science-fiction,US
gsc,c,d,,,,1951,,,,,,,,,,,,,,2,1,,SA
gts,s,m,,,,1959,,,,,,,,,,,,,,0,0,,US
gun,m,d,1,9,,2022,jkd,jbp,jcs2,tca2,jca2,mta,lbc,pppc,smpc,tppc,jbpc,ppdc,"1,46",0,0,action,US
gyc,c,m,,,,1949,,,,,,,,,,,,,,1,1,,EU
hfpc,pc,d,,,,1996,,,,,,,,,,,,,,,,,EU
hha,a,f,,,,1958,,,,,,,,,,,,,,1,1,,US
hla,a,m,,,,1979,,,,,,,,,,,,,,1,1,,AU
hsc,c,m,,,,1946,,,,,,,,,,,,,,3,3,,CA
hugo,m,d,2,,14,2011,msd,gkp,jls1,bka,sca1,aba,hsc,gkpc,inpc,,,ppdc,"0,185",5,,drama,US
hzc,c,m,,,,1957,,,,,,,,,,,,,,2,3,,EU
iepc,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
ima,a,f,,,,1971,,,,,,,,,,,,,,0,0,,US
impc,pc,d,,,,1998,,,,,,,,,,,,,,,,,EU
incredibles,m,d,1,18,,2018,bbd,ngp,bbs,cna,hha,sva,mgc,ppc,,,,wddc,"1,243",0,0,action,US
inpc,pc,d,,,,2004,,,,,,,,,,,,,,,,,US
iron,m,d,1,20,,2013,sbd,kfp,dps,rda,gpa,dca,btc,mspc,,,,wddc,"1,214",0,0,action,US
jad,d,m,,,,1978,,,,,,,,,,,,,,,,,US
jap,p,m,,,,1978,,,,,,,,,,,,,,,,,US
jba,a,m,,,,1992,,,,,,,,,,,,,,0,1,,US
jba1,a,m,,,,1968,,,,,,,,,,,,,,1,0,,US
jba2,a,m,,,,1969,,,,,,,,,,,,,,1,1,,EU
jbd,d,m,,,,1975,,,,,,,,,,,,,,,,,EU
jbp,p,m,,,,1943,,,,,,,,,,,,,,0,2,,US
jbp1,p,m,,,,1957,,,,,,,,,,,,,,1,,,US
jbpc,pc,d,,,,1995,,,,,,,,,,,,,,,,,US
jca,a,f,,,,1977,,,,,,,,,,,,,,1,1,,US
jca2,a,f,,,,1970,,,,,,,,,,,,,,1,1,,US
jcd,d,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcd1,d,f,,,,1954,,,,,,,,,,,,,,4,1,,US
jcp,p,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcs,s,m,,,,1954,,,,,,,,,,,,,,3,3,,CA
jcs1,s,m,,,,1954,,,,,,,,,,,,,,4,1,,US
jcs2,s,m,,,,1947,,,,,,,,,,,,,,0,0,,US
jea,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
jedi,m,d,1,14,,2017,rjd,kkp,rjs,mha,cfa,ada,jwc,lfpc,,,,wddc,"1,333",,,action,US
jfd,d,m,,,,1966,,,,,,,,,,,,,,0,0,,US
jfp,p,m,,,,1966,,,,,,,,,,,,,,0,0,,US
jga,a,m,,,,1980,,,,,,,,,,,,,,,,,US
jga1,a,m,,,,1985,,,,,,,,,,,,,,0,0,,US
jga2,a,m,,,,1981,,,,,,,,,,,,,,0,0,,US
jgc,c,m,,,,1951,,,,,,,,,,,,,,0,0,,EU
jhc,c,m,,,,1953,,,,,,,,,,,,,,2,2,,US
jis,s,m,,,,1928,,,,,,,,,,,,,,1,0,,US
jkd,d,m,,,,1974,,,,,,,,,,,,,,0,0,,US
jks,s,m,,,,1917,,,,,,,,,,,,,,,,,US
jls,s,f,,,,1971,,,,,,,,,,,,,,0,0,,US
jls1,s,m,,,,1961,,,,,,,,,,,,,,,,,US
jnc,c,m,,,,1951,,,,,,,,,,,,,,0,0,,US
jns,s,m,,,,1965,,,,,,,,,,,,,,0,0,,US
jns1,s,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
jra,a,m,,,,1971,,,,,,,,,,,,,,0,0,,US
jrd,d,m,,,,1971,,,,,,,,,,,,,,0,0,,US
jrp,p,m,,,,1971,,,,,,,,,,,,,,2,0,,US
jsa,a,m,,,,1967,,,,,,,,,,,,,,0,0,,EU
jta,a,m,,,,1981,,,,,,,,,,,,,,0,0,,US
jurassic,m,d,1,5,,2015,ctd,fmp,cts,cpa,bha,voa,mgc,aepc,lppc,kmpc,,updc,"1,672",0,0,action,US
jwc,c,m,,,,1932,,,,,,,,,,,,,,5,4,,US
jwd,d,m,,,,1964,,,,,,,,,,,,,,0,0,,US
jwd2,d,m,,,,1977,,,,,,,,,,,,,,0,0,,A
jwp,p,m,,,,1964,,,,,,,,,,,,,,0,0,,US
jws,s,m,,,,1964,,,,,,,,,,,,,,0,0,,US
kba,a,f,,,,1980,,,,,,,,,,,,,,0,0,,US
kbd,d,f,,,,1951,,,,,,,,,,,,,,2,0,,US
kbp,p,f,,,,1951,,,,,,,,,,,,,,2,0,,US
kfp,p,m,,,,1973,,,,,,,,,,,,,,,,,US
kfpc,pc,d,,,,1974,,,,,,,,,,,,,,,,,US
kfpc1,pc,d,,,,1999,,,,,,,,,,,,,,,,,EU
khpc,pc,d,,,,2007,,,,,,,,,,,,,,,,,EU
kingdom,m,d,1,15,,2018,jbd,fmp,dcs,cpa,bha,rsa,mgc,aepc,lepc1,pwpc,tmpc,updc,"1,31",,,action,US
kkp,p,f,,,,1953,,,,,,,,,,,,,,,,,US
kmpc,pc,d,,,,1991,,,,,,,,,,,,,,,,,US
kommando,m,d,2,,5,2008,kbd,kbp,mbs,jra,ama,ela,mbc,kfpc,flpc,vppc,gppc,sedc,"0,492",6,0,thriller,US
kopf,m,d,2,,11,2015,pdd,jrp,pds,apa,bha1,lba,mgc,ppc,wdpc,,,wddc,"0,858",1,2,comedy,US
lba,a,m,,,,1948,,,,,,,,,,,,,,0,0,,US
lbc,c,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
lbp,p,f,,,,1968,,,,,,,,,,,,,,,,,US
lbpc,pc,d,,,,,,,,,,,,,,,,,,,,,US
lca,a,f,,,,1975,,,,,,,,,,,,,,,,,US
lcpc,pc,d,,,,,,,,,,,,,,,,,,,,,EU
lea,a,f,,,,1955,,,,,,,,,,,,,,0,0,,EU
lea1,a,m,,,,1979,,,,,,,,,,,,,,0,0,,EU
leben,m,d,2,,7,2006,fhd,mwp,fhs,uma,ska,mga,gyc,wbpc2,brpc,arpc,cfpc,wddc,"0,773",1,1,drama,EU
lepc,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
lepc1,pc,d,,,,2000,,,,,,,,,,,,,,,,,US
lfpc,pc,d,,,,1971,,,,,,,,,,,,,,,,,US
lgc,c,m,,,,1984,,,,,,,,,,,,,,1,,,EU
lgd,d,m,,,,1971,,,,,,,,,,,,,,0,0,,EU
lion,m,d,1,6,,2019,jfd,jfp,jns,dga,sra,cea1,hzc,wdpc,fepc,,,wddc,"1,663",0,0,musical,US
lms,s,m,,,,1936,,,,,,,,,,,,,,1,1,,US
lna,a,f,,,,1983,,,,,,,,,,,,,,1,,,SA
lppc,pc,d,,,,2000,,,,,,,,,,,,,,,,,US
lra,a,m,,,,1972,,,,,,,,,,,,,,0,0,,US
mad,d,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
man,m,d,,,6,2009,jcd1,ecp,jcs1,msa,rka,fma,cbc1,scpc,rmpc,wtpc,mzpc,ffdc,"0,314",0,0,comedy-drama,EU
map,p,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
mas,s,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
mbc,c,m,,,,1966,,,,,,,,,,,,,,0,0,,US
mbs,s,m,,,,1973,,,,,,,,,,,,,,2,0,,US
mda,a,m,,,,1944,,,,,,,,,,,,,,2,5,,US
mfpc,pc,d,,,,2014,,,,,,,,,,,,,,,,,EU
mfpc1,pc,d,,,,1979,,,,,,,,,,,,,,,,,US
mga,a,f,,,,1961,,,,,,,,,,,,,,0,0,,EU
mgc,c,m,,,,1967,,,,,,,,,,,,,,1,1,,US
mha,a,m,,,,1951,,,,,,,,,,,,,,,,,US
mja,a,m,,,,1987,,,,,,,,,,,,,,,,,US
mna,a,m,,,,1960,,,,,,,,,,,,,,0,0,,EU
moon,m,d,2,,2,2016,bjd,arp,bjs,aha,asa,tra,nbc,a2pc,dmpc,,,a2dc,"0,653",3,1,drama,EU
mra,a,m,,,,1952,,,,,,,,,,,,,,,1,,US
mra2,a,m,,,,1967,,,,,,,,,,,,,,0,1,,US
mrpc,pc,d,,,,2006,,,,,,,,,,,,,,,,,US
msa,a,m,,,,1968,,,,,,,,,,,,,,0,0,,US
msd,d,m,,,,1942,,,,,,,,,,,,,,1,3,,US
mspc,pc,d,,,,1993,,,,,,,,,,,,,,,,,US
mta,a,m,,,,1987,,,,,,,,,,,,,,0,0,,US
mta1,a,f,,,,1964,,,,,,,,,,,,,,1,,,US
muenchen,m,d,2,,17,2006,ssd1,ssp1,gjs,eba,cda,cha,jwc,uppc,dppc,,,ugdc,"0,131",0,0,drama,US
mwa,a,m,,,,1953,,,,,,,,,,,,,,0,0,,EU
mwp,p,m,,,,1977,,,,,,,,,,,,,,1,1,,EU
mypc,pc,d,,,,2007,,,,,,,,,,,,,,,,,US
mzpc,pc,d,,,,1985,,,,,,,,,,,,,,,,,US
nad,d,m,,,,1961,,,,,,,,,,,,,,0,0,,EU
name,m,d,2,,8,2017,lgd,psp,jis,aha2,tca,msa,ssc,ffpc,lcpc,rtpc,mypc,spdc,"0,419",1,0,drama,EU
nbc,c,m,,,,1980,,,,,,,,,,,,,,0,0,,US
nfdc,dc,d,,,,1956,,,,,,,,,,,,,,,,,EU
nfpc,pc,d,,,,1906,,,,,,,,,,,,,,,,,EU
ngp,p,f,,,,1986,,,,,,,,,,,,,,0,0,,US
npa,a,m,,,,1979,,,,,,,,,,,,,,0,0,,EU
ofpc,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
orpc,pc,d,,,,1995,,,,,,,,,,,,,,,,,US
panther,m,d,1,12,,2018,rcd,kfp,rcs,cba,mja,lna,lgc,mspc,,,,wddc,"1,348",3,,action,US
pbpc,pc,d,,,,2001,,,,,,,,,,,,,,,,,US
pcpc,pc,d,,,,1998,,,,,,,,,,,,,,,,,US
pdd,d,m,,,,1968,,,,,,,,,,,,,,3,0,,US
pdp,p,m,,,,1966,,,,,,,,,,,,,,1,0,,US
pds,s,m,,,,1968,,,,,,,,,,,,,,1,2,,US
poa,a,m,,,,1969,,,,,,,,,,,,,,0,0,,US
potter,m,d,1,13,,2011,dyd,dhp1,sks,dra1,rga,ewa,adc,wbpc,hfpc,,,wbdc,"1,342",,,fantasy,EU
ppc,pc,d,,,,1953,,,,,,,,,,,,,,,,,US
ppdc,dc,d,,,,1912,,,,,,,,,,,,,,,,,US
pppc,pc,d,,,,1912,,,,,,,,,,,,,,,,,US
pppc1,pc,d,,,,1997,,,,,,,,,,,,,,,,,US
psa,a,m,,,,1946,,,,,,,,,,,,,,0,0,,EU
psp,p,m,,,,1965,,,,,,,,,,,,,,1,0,,US
pvc,c,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
pwa,a,m,,,,1973,,,,,,,,,,,,,,0,0,,US
pwpc,pc,d,,,,2008,,,,,,,,,,,,,,,,,A
ratatouille,m,d,2,,9,2007,bbd,blp,bbs,bga,lra,poa,mgc,ppc,wdpc,,,bvdc,"0,623",1,1,comedy,US
rcd,d,m,,,,1986,,,,,,,,,,,,,,,,,US
rcs,s,m,,,,1986,,,,,,,,,,,,,,,,,US
rda,a,m,,,,1965,,,,,,,,,,,,,,0,3,,US
rga,a,m,,,,1988,,,,,,,,,,,,,,,,,EU
rjd,d,m,,,,1973,,,,,,,,,,,,,,,,,US
rjs,s,m,,,,1973,,,,,,,,,,,,,,,,,US
rka,a,f,,,,1956,,,,,,,,,,,,,,0,0,,US
rmpc,pc,d,,,,2004,,,,,,,,,,,,,,,,,US
rrpc,pc,d,,,,1987,,,,,,,,,,,,,,,,,US
rsa,a,m,,,,1983,,,,,,,,,,,,,,,,,EU
rss,s,m,,,,1971,,,,,,,,,,,,,,,,,US
rtpc,pc,d,,,,2005,,,,,,,,,,,,,,,,,SA
sba,a,f,,,,1964,,,,,,,,,,,,,,1,1,,US
sbd,d,m,,,,1961,,,,,,,,,,,,,,0,0,,US
sca1,a,m,,,,1971,,,,,,,,,,,,,,,2,,EU
scpc,pc,d,,,,1988,,,,,,,,,,,,,,,,,US
scs,s,m,,,,1970,,,,,,,,,,,,,,0,0,,US
sedc,dc,d,,,,1991,,,,,,,,,,,,,,,,,US
sha,a,f,,,,1978,,,,,,,,,,,,,,0,0,,EU
sja,a,f,,,,1984,,,,,,,,,,,,mra,,0,0,,US
ska,a,m,,,,1962,,,,,,,,,,,,,,0,0,,EU
skp,p,f,,,,1942,,,,,,,,,,,,,,0,0,,US
sks,s,m,,,,1960,,,,,,,,,,,,,,,,,US
slp,p,m,,,,1922,,,,,,,,,,,,,,0,0,,US
sls,s,m,,,,1954,,,,,,,,,,,,,,0,0,,EU
smpc,pc,d,,,,2010,,,,,,,,,,,,,,,,,US
sms,s,m,,,,1958,,,,,,,,,,,,,,,,,US
social,m,d,2,,18,2010,dfd,dbp,ass,jea,jta,aga,trc,cppc,srpc,tspc,rmpc,spdc,"0,225",3,4,drama,US
spa,a,m,,,,1960,,,,,,,,,,,,,,2,1,,US
spc,c,m,,,,1977,,,,,,,,,,,,,,1,0,,EU
spdc,dc,d,,,,1991,,,,,,,,,,,,,,,,,US
